restaurant,details,address,phone,website,index,url,latitude,longitude
Lanai Rooftop Lounge,8:00 PM - 10:00 PM - $4.00 V.I.P. Martinis $2.50 Beers,"422 Congress Avenue Suite C, Austin, TX 78701",(512) 479-6600,http://www.lanaiaustin.com/,1,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.256799,-97.747025
Bikinis Sports Bar & Grill,All day - $4 Big Daddy Drafts(25oz) $1.49 Mini Burgers(serverd a la carte),"6901 I-35 N, Austin, TX 78752",(512) 454-2247,http://www.bikinissportsbarandgrill.com/,2,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.329884,-97.704588
Serranos,"8:00 PM - 10:00 PM - Late Night Happy Hour Monday - Thursday 8 pm to close $3 Drafts, $3 Premium Wells, $3 House Margaritas, and discounted Signature Drinks","5030 Highway 290 West, Austin, TX 78735",(512) 891-7592,http://www.serranos.com/,3,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.236137,-97.821767
Gourmands,All day - House made margaritas $5.00 glasses and $15.00 pitchers,"2316 Webberville, austin, TX 78702",(512) 610-2031,http://www.lovethysandwich.com/,4,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.26267,-97.715416
Buffalo Billiards,"4-close All Day Happy Hour Half Price Appetizers $1 off select drafts, well drinks, and house wines","201 East 6th Street, Austin, TX",(512) 479-7665,http://www.buffalobilliards.com/austin/,5,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.267344,-97.741314
Freda’s Seafood Grill,"Happy Hour every day 4-7 p.m., and Monday all day: Bar & patio area: $2 draft domestic beer, $3.50 well drinks, $5 Mojitos, $3 Frozen Margarita, $4 Margarita Rocks, $1 off Wine","10903 Pecan Park Boulevard, Austin, TX",(512) 506-8700,http://www.fredasseafoodgrille.com/,6,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.463994,-97.803818
Karma Lounge,10:00 PM - 2:00 AM - $3 Wells/Domestics $4 Specials All Night Ask About our Root Beer Float Shot,"105 E. 5th St., Austin, TX 78701",(512) 469-0504,http://www.karmaloungeaustin.com/,7,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.266674,-97.742393
Maudie’s Tex-Mex,"Tuesday through Friday 3-7 p.m $3.50 house margaritas, $4 frozen swirl and $0.50 off all beer","9911 Brodie Lane, Austin, TX",(512) 280-8700,http://www.maudies.com/,8,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.183903,-97.847672
The Carillon,"Tuesday- Saturday, 5:30-7:00 p.m.:True American Cocktails $10, New American Cocktails $12, Wine by the Glass $8-$12, and Bottled Beer $4 & $5.","1900 University Avenue, Austin, TX",(512) 404-3655,http://www.thecarillonrestaurant.com/,9,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.282404,-97.740342
Casino El Camino,Friday 4-7 p.m.,"517 East 6th Street, Austin, TX",(512) 469-9330,http://www.casinoelcamino.net/,10,http://everythingaustinapartments.com/blog/austin-happy-hour-search-map/,30.266406,-97.73769
